GEOID,NAME,POPULATION
26037,"Clinton County, Michigan",79426
26045,"Eaton County, Michigan",108944
26049,"Genesee County, Michigan",404208
26055,"Grand Traverse County, Michigan",95860
26065,"Ingham County, Michigan",284034
26067,"Ionia County, Michigan",67197
26075,"Jackson County, Michigan",160050
26077,"Kalamazoo County, Michigan",261108
26081,"Kent County, Michigan",658046
26087,"Lapeer County, Michigan",88513
26091,"Lenawee County, Michigan",98956
26093,"Livingston County, Michigan",195014
26099,"Macomb County, Michigan",876792
26103,"Marquette County, Michigan",66103
26111,"Midland County, Michigan",83457
26115,"Monroe County, Michigan",155274
26117,"Montcalm County, Michigan",67220
26121,"Muskegon County, Michigan",176511
26125,"Oakland County, Michigan",1270017
26139,"Ottawa County, Michigan",299157
26145,"Saginaw County, Michigan",189591
26147,"St. Clair County, Michigan",160053
26155,"Shiawassee County, Michigan",67877
26159,"Van Buren County, Michigan",75658
26161,"Washtenaw County, Michigan",369390
26163,"Wayne County, Michigan",1774816
27003,"Anoka County, Minnesota",367018
27013,"Blue Earth County, Minnesota",69280
27019,"Carver County, Minnesota",108626
27027,"Clay County, Minnesota",65574
27035,"Crow Wing County, Minnesota",67270
27037,"Dakota County, Minnesota",442038
27053,"Hennepin County, Minnesota",1267416
27109,"Olmsted County, Minnesota",163436
27123,"Ramsey County, Minnesota",543257
27131,"Rice County, Minnesota",67262
27137,"St. Louis County, Minnesota",199182
27139,"Scott County, Minnesota",153268
27141,"Sherburne County, Minnesota",99074
27145,"Stearns County, Minnesota",158947
27163,"Washington County, Minnesota",272256
27171,"Wright County, Minnesota",144845
28033,"DeSoto County, Mississippi",188633
28035,"Forrest County, Mississippi",77875
28047,"Harrison County, Mississippi",209396
28049,"Hinds County, Mississippi",222679
28059,"Jackson County, Mississippi",143987
28067,"Jones County, Mississippi",66744
28073,"Lamar County, Mississippi",65353
28075,"Lauderdale County, Mississippi",72088
28081,"Lee County, Mississippi",82883
28089,"Madison County, Mississippi",109813
28121,"Rankin County, Mississippi",158096
29019,"Boone County, Missouri",185840
29021,"Buchanan County, Missouri",83853
29031,"Cape Girardeau County, Missouri",82113
29037,"Cass County, Missouri",109638
29043,"Christian County, Missouri",91499
29047,"Clay County, Missouri",255518
29051,"Cole County, Missouri",77205
29071,"Franklin County, Missouri",105231
29077,"Greene County, Missouri",300865
29095,"Jackson County, Missouri",716862
29097,"Jasper County, Missouri",123155
29099,"Jefferson County, Missouri",227771
29165,"Platte County, Missouri",108569
29183,"St. Charles County, Missouri",409981
29187,"St. Francois County, Missouri",67541
29189,"St. Louis County, Missouri",997187
29510,"St. Louis city, Missouri",293310
30013,"Cascade County, Montana",84511
30029,"Flathead County, Montana",108454
30031,"Gallatin County, Montana",122713
30049,"Lewis and Clark County, Montana",72223
30063,"Missoula County, Montana",119533
30111,"Yellowstone County, Montana",167146
31055,"Douglas County, Nebraska",585008
31109,"Lancaster County, Nebraska",324514
31153,"Sarpy County, Nebraska",193418
32003,"Clark County, Nevada",2292476
